1,Sirpur,Adilabad,BJP,BJP,3088,22/22
2,Chennur,Adilabad,INC,INC,37515,17/17
3,Bellampalli,Adilabad,INC,INC,36878,17/17
4,Mancherial,Adilabad,INC,INC,66116,21/21
5,Asifabad,Adilabad,BRS,BRS,22798,22/22
6,Khanapur,Adilabad,INC,,4702,22/22
7,Adilabad,Adilabad,BJP,BJP,6692,21/21
8,Boath,Adilabad,BRS,BRS,22800,22/22
9,Nirmal,Adilabad,BJP,BJP,50703,22/22
10,Mudhole,Adilabad,BJP,,23999,23/23
11,Armur,Nizamabad,BJP,BJP,29669,16/16
12,Bodhan,Nizamabad,INC,INC,3062,18/18
13,Jukkal,Nizamabad,INC,INC,1152,19/19
14,Banswada,Nizamabad,BRS,BRS,23464,19/19
15,Yellareddy,Nizamanad,INC,INC,24001,21/21
16,Kamareddy,Nizamabad,BJP,BJP,6741,20/20
17,Nizamabad Urban,Nizamabad,BJP,BJP,15387,21/21
18,Nizamabad Rural,Nizamabad,INC,INC,21963,21/21
19,Balkonda,Nizamabad,BRS,BRS,4533,18/18
20,Koratla,Nizamabad,BRS,BRS,10305,19/19
21,Jagtial,Karimnagar,BRS,BRS,15822,19/19
22,Dharmapuri,Karimnagar,INC,INC,22039,20/20
23,Ramagundam,Karimnagar,INC,INC,56794,19/19
24,Manthani,Karimnagar,INC,INC,31380,21/21
25,Peddapalle,Karimnagar,INC,INC,55108,21/21
26,Karimnagar,Karimnagar,BRS,,4648,24/25
27,Choppadandi,Karimnagar,INC,INC,37439,24/24
28,Vemulawada,Karimnagar,INC,INC,14581,19/19
29,Sircilla,Karimnagar,BRS,BRS,29687,21/21
30,Manakondur,Karimnagar,INC,INC,32365,23/23
31,Huzurabad,Karimnagar,BRS,BRS,16873,22/22
32,Husnabad,Karimnagar,INC,INC,19344,22/22
33,Siddipet,Medak,BRS,BRS,82308,20/20
34,Medak,Medak,INC,INC,10157,20/20
35,Narayankhed,Medak,INC,INC,6547,17/17
36,Andole,Medak,INC,INC,28193,18/18
37,Narsapur,Medak,BRS,BRS,8855,22/22
38,Zahirabad,Medak,BRS,BRS,12790,18/18
39,Sangareddy,Medak,BRS,BRS,8217,18/18
40,Patancheru,Medak,BRS,,7312,22/23
41,Dubbak,Medak,BRS,BRS,53513,19/19
42,Gajwel,Medak,BRS,,42352,22/23
43,Medchal,Ranga Reddy,BRS,BRS,33419,21/21
44,Malkajgiri,Ranga Reddy,BRS,,48693,21/22
45,Quthbullapur,Ranga Reddy,BRS,BRS,85576,22/22
46,Kukatpally,Ranga Reddy,BRS,BRS,70387,22/22
47,Uppal,Ranga Reddy,BRS,BRS,49030,21/21
48,Ibrahimpatnam,Ranga Reddy,INC,,35401,25/25
49,Lal Bahadur Nagar,Ranga Reddy,BRS,,18056,14/21
50,Maheshwaram,Ranga Reddy,BRS,BRS,26187,20/20
51,Rajendranagar,Ranga Reddy,BRS,BRS,32096,20/20
52,Serilingampally,Ranga Reddy,BRS,,44065,22/23
53,Chevella,Ranga Reddy,BRS,,268,22/22
54,Pargi,Mahabubnagar,INC,,21785,21/22
55,Vikarabad,Mahabubnagar,INC,,12893,21/21
56,Tandur,Mahabubnagar,INC,INC,6583,20/20
57,Musheerabad,Hyderabad,BRS,,37797,21/21
58,Malakpet,Hyderabad,MIM,,26106,22/22
59,Amberpet,Hyderabad,BRS,BRS,24537,18/18
60,Khairatabad,Hyderabad,BRS,BRS,22010,19/19
61,Jubilee Hills,Hyderabad,BRS,,6478,16/26
62,Sanathnagar,Hyderabad,BRS,BRS,41827,17/17
63,Nampally,Hyderabad,MIM,,1248,15/21
64,Karwan,Hyderabad,MIM,,35919,22/24
65,Goshamahal,Hyderabad,BJP,BJP,21457,17/17
66,Charminar,Hyderabad,MIM,MIM,22853,15/15
67,Chandrayangutta,Hyderabad,MIM,,81467,23/23
68,Yakutpura,Hyderabad,MIM,,878,25/25
69,Bahadurpura,Hyderabad,MIM,MIM,67025,21/21
70,Secunderabad,Hyderabad,BRS,BRS,45240,16/16
71,Secunderabad Cantonment,Hyderabad,BRS,BRS,17169,17/17
72,Kodangal,Mahabubnagar,INC,INC,32532,20/20
73,Narayanpet,Mahabubnagar,INC,INC,7951,20/20
74,Mahabubnagar,Mahabubnagar,INC,INC,18738,20/20
75,Jadcherla,Mahabubnagar,INC,INC,15171,20/20
76,Devarkadra,Mahabubnagar,INC,INC,1392,21/21
77,Makthal,Mahabubnagar,INC,INC,17525,21/21
78,Wanaparthy,Mahabubnagar,INC,INC,25320,22/22
79,Gadwal,Mahabubnagar,BRS,BRS,7036,22/22
80,Alampur,Mahabubnagar,BRS,BRS,30573,21/21
81,Nagarkurnool,Mahabubnagar,INC,INC,5248,20/20
82,Achampet,Mahabubnagar,INC,INC,49326,20/20
83,Kalwakurthy,Mahabubnagar,INC,INC,5410,19/19
84,Shadnagar,Mahabubnagar,INC,INC,7128,22/22
85,Kollapur,Mahabubnagar,INC,INC,29931,20/20
86,Devarakonda,Mahabubnagar,INC,INC,30021,23/23
87,Nagarjuna Sagar,Nalgonda,INC,INC,55849,22/22
88,Miryalaguda,Nalgonda,INC,INC,48782,19/19
89,Huzurnagar,Nalgonda,INC,INC,44888,18/18
90,Kodad,Nalgonda,INC,INC,58172,19/19
91,Suryapet,Nalgonda,BRS,BRS,4606,20/20
92,Nalgonda,Nalgonda,INC,,54332,21/21
93,Munugode,Nalgonda,INC,INC,40590,22/22
94,Bhongir,Nalgonda,INC,INC,26201,19/19
95,Nakrekal,Nalgonda,INC,INC,68839,22/22
96,Thungathurthi,Nalgonda,INC,INC,51094,19/19
97,Alair,Nalgonda,INC,INC,49636,24/24
98,Jangaon,Warangal,BRS,BRS,15783,20/20
99,Ghanpur Station,Warangal,BRS,BRS,7779,21/21
100,Palakurthi,Warangal,INC,,46367,21/22
101,Dornakal,Warangal,INC,INC,53131,19/19
102,Mahabubabad,Warangal,INC,INC,50171,21/21
103,Narsampet,Warangal,INC,,17504,19/21
104,Parkal,Warangal,INC,INC,7941,18/18
105,Warangal West,Warangal,INC,INC,15331,18/18
106,Warangal East,Warangal,INC,INC,15652,17/17
107,Waradhanapet,Warangal,INC,,10563,17/20
108,Bhupalpalle,Warangal,INC,INC,52699,23/23
109,Mulug,Warangal,INC,INC,33700,22/22
110,Pinapaka,Khammam,INC,INC,34506,18/18
111,Yellandu,Khammam,INC,INC,57309,18/18
112,Khammam,Khammam,INC,,31825,16/23
113,Palair,Khammam,INC,,48654,18/21
114,Madhira,Khammam,INC,INC,35452,20/20
115,Wyra,Khammam,INC,INC,33045,18/18
116,Sathupalli,Khammam,INC,,19440,21/21
117,Kothagudem,Khammam,OTH,OTH,26547,19/19
118,Aswaraopeta,Khammam,INC,INC,28905,14/14
119,Bhadrachalam,Khammam,BRS,BRS,5719,13/13
